episode,length,total_reward,avg_q,exploration
0,15,3.0,-0.03761794,1.0
1,10,-2.0,-0.03761794,0.9950248756218907
2,21,-5.0,-0.03761794,0.990074503106359
3,19,3.0,-0.03761794,0.98514875930981
4,17,3.0,-0.06291279,0.9802475217013037
5,21,9.0,-0.103972524,0.9753706683595063
6,37,3.0,-0.18489034,0.970518077969658
7,16,6.0,-0.20819026,0.9656896298205554
8,13,1.0,-0.23957592,0.9608852038015477
9,10,0.0,-0.25384596,0.9561046803995501
10,20,-12.0,-0.29417208,0.9513479406960699
11,22,4.0,-0.34355968,0.9466148663642487
12,16,4.0,-0.3847717,0.9419053396659193
13,44,32.0,-0.41874006,0.937219243448676
14,15,-7.0,-0.40723097,0.9325564611429613
15,21,-13.0,-0.3906429,0.9279168767591656
16,21,5.0,-0.4067558,0.9233003748847419
17,18,6.0,-0.4380615,0.9187068406813353
18,12,-2.0,-0.464555,0.9141361598819259
19,19,-1.0,-0.4910095,0.909588218787986
20,19,-13.0,-0.49664265,0.9050629042666528
21,13,1.0,-0.4882866,0.9005601037479133
22,27,1.0,-0.4686013,0.8960797052218044
23,15,-3.0,-0.4570473,0.8916215972356263
24,31,-17.0,-0.533839,0.8871856688911706
25,17,3.0,-0.56504065,0.8827718098419609
26,16,2.0,-0.56841147,0.8783799102905084
27,10,0.0,-0.56714606,0.8740098609855806
28,20,0.0,-0.503724,0.8696615532194834
29,15,3.0,-0.44734424,0.8653348788253566
30,22,4.0,-0.4411246,0.8610297301744844
31,12,-2.0,-0.45299694,0.8567460001736164
32,55,-45.0,-0.51926553,0.8524835822623049
33,14,0.0,-0.50561565,0.8482423704102537
34,16,2.0,-0.50098777,0.8440222591146804
35,77,-41.0,-0.41151574,0.839823143397692
36,30,0.0,-0.4196216,0.8356449188036738
37,11,1.0,-0.45448303,0.8314874813966904
38,25,-7.0,-0.38384682,0.827350727757901
39,12,-2.0,-0.39752457,0.8232345549829861
40,18,2.0,-0.41093552,0.8191388606795883
41,23,-1.0,-0.45530823,0.8150635429647646
42,18,-4.0,-0.4471871,0.8110085004624524
43,17,3.0,-0.44637108,0.8069736323009478
44,11,1.0,-0.45359474,0.8029588381103959
45,19,9.0,-0.38559404,0.7989640180202945
46,18,-4.0,-0.24175596,0.7949890726570096
47,22,4.0,-0.18885975,0.7910339031413032
48,24,6.0,-0.50144196,0.7870984110858739
49,31,-9.0,-0.86758924,0.7831824985929094
50,18,2.0,-0.73293024,0.7792860682516513
51,11,-3.0,-0.64864886,0.7754090231359715
52,16,0.0,-0.59280205,0.7715512668019617
53,21,9.0,-0.60934806,0.7677127032855341
54,21,1.0,-0.7681415,0.763893237100034
55,24,6.0,-0.7607317,0.7600927732338647
56,13,-1.0,-0.5528358,0.7563112171481242
57,122,62.0,-0.44552168,0.752548474774253
58,85,31.0,-0.41805306,0.7488044525116946
59,36,-10.0,-0.44513226,0.7450790572255668
60,20,-10.0,-0.46808678,0.7413721962443451
61,30,14.0,-0.29958814,0.7376837773575574
62,13,-3.0,-0.21826841,0.73401370881349
63,21,-1.0,-0.39711815,0.7303618993169055
64,33,-21.0,-0.48905727,0.7267282580267718
65,27,17.0,-0.40935522,0.7231126945540018
66,63,21.0,-0.31589332,0.719515118959206
67,69,49.0,-0.39097455,0.7159354417504538
68,27,7.0,-0.44235075,0.7123735738810486
69,92,72.0,-0.36250645,0.7088294267473121
70,73,29.0,-0.34056744,0.7053029121863803
71,37,27.0,-0.38819233,0.7017939424740103
72,21,7.0,-0.36756298,0.6983024303223984
73,29,19.0,-0.39015567,0.6948282888780084
74,67,-5.0,-0.5130861,0.6913714317194114
75,43,33.0,-0.7504977,0.6879317728551358
76,74,62.0,-0.76157206,0.6845092267215283
77,53,19.0,-0.6327289,0.6811037081806252
78,31,9.0,-0.70847154,0.6777151325180351
79,40,28.0,-0.5643933,0.674343415440831
80,57,-13.0,-0.46679157,0.6709884730754538
81,22,2.0,-0.48511845,0.6676502219656257
82,88,-74.0,-0.47646052,0.6643285790702744
83,25,-13.0,-0.53827876,0.6610234617614672
84,41,17.0,-0.53859085,0.6577347878223555
85,47,27.0,-0.38808414,0.6544624754451299
86,73,5.0,-0.32013455,0.651206443228985
87,101,33.0,-0.4334755,0.6479666101780946
88,15,1.0,-0.50637966,0.6447428956995968
89,48,14.0,-0.32233387,0.6415352196015889
90,99,17.0,-0.3245958,0.6383435020911333
91,89,17.0,-0.3277074,0.6351676637722721
92,99,5.0,-0.5362941,0.6320076256440519
93,41,27.0,-0.80240774,0.6288633090985591
94,46,20.0,-0.3085155,0.6257346359189644
95,58,4.0,-0.47823843,0.6226215282775766
96,31,13.0,-0.3810369,0.6195239087339071
97,33,1.0,-0.46212578,0.6164417002327434
98,79,3.0,-0.29687414,0.6133748261022323
99,40,-20.0,-0.32016143,0.6103232100519724
100,39,21.0,-0.35002923,0.6072867761711169
101,99,83.0,-0.35586885,0.6042654489264846
102,59,43.0,-0.50381637,0.6012591531606812
103,14,-2.0,-0.48649585,0.5982678140902301
104,31,21.0,-0.27340257,0.5952913573037116
105,78,6.0,-0.3069409,0.5923297087599121
106,58,50.0,-0.32927096,0.5893827947859822
107,111,21.0,-0.39943305,0.5864505420756042
108,27,17.0,-0.41403353,0.5835328776871684
109,123,99.0,-0.7560163,0.5806297290419588
110,35,-23.0,-0.71267915,0.577741023922347
111,117,89.0,-0.43924728,0.5748666904699972
112,231,27.0,-0.5873532,0.5720066571840768
113,45,31.0,-0.46739578,0.5691608529194795
114,171,-5.0,-0.50952464,0.5663292068850543
115,29,11.0,-0.39559588,0.5635116486418451
116,145,55.0,-0.47091538,0.5607081081013385
117,31,15.0,-0.4059608,0.55791851552372
118,125,19.0,-0.38481385,0.5551428015161394
119,21,9.0,-0.43484238,0.5523808970309845
120,13,-5.0,-0.37088352,0.5496327333641637
121,32,-6.0,-0.89175797,0.5468982421533968
122,26,16.0,-0.9692798,0.5441773553765142
123,150,92.0,-0.5918628,0.5414700053497654
124,100,-20.0,-0.7535366,0.5387761247261348
125,77,63.0,-0.6138043,0.5360956464936665
126,31,17.0,-0.7842952,0.5334285039737976
127,17,-7.0,-0.45294285,0.5307746308196991
128,29,-5.0,-0.7006291,0.5281339610146261
129,160,64.0,-0.7945633,0.5255064288702748
130,32,20.0,-0.65630907,0.5228919690251491
131,105,59.0,-0.7362044,0.5202905164429344
132,184,98.0,-0.5885554,0.5177020064108802
133,169,65.0,-1.242518,0.5151263745381892
134,62,-14.0,-0.75621,0.5125635567544172
135,96,38.0,-0.79016757,0.5100134893078779
136,134,50.0,-0.69842255,0.5074761087640577
137,165,13.0,-0.87942874,0.5049513520040375
138,174,112.0,-0.823785,0.5024391562229229
139,100,38.0,-0.43202224,0.49993945892828157
140,61,21.0,-0.54644734,0.4974521979385887
141,96,20.0,-0.97726226,0.49497731138168033
142,60,42.0,-1.9014181,0.4925147376932143
143,176,148.0,-0.97967744,0.49006441561513864
144,159,-35.0,-1.1938968,0.48762628419416787
145,159,-1.0,-1.3428023,0.4852002827802666
146,14,2.0,-1.0871453,0.48278635102514095
147,159,19.0,-0.8502009,0.4803844288807373
148,364,244.0,-1.483569,0.4779944565977486
149,133,95.0,-1.4099526,0.475616374724128
150,192,172.0,-1.6385183,0.47325012410361
151,59,39.0,-1.3156126,0.4708956458742389
152,163,27.0,-1.4198506,0.4685528814669044
153,118,40.0,-1.5552974,0.46622177260388503
154,140,78.0,-1.4151509,0.4639022612973981
155,196,44.0,-1.1067926,0.46159428984815737
156,151,39.0,-1.247115,0.45929780084393773
157,24,10.0,-1.4182498,0.45701273715814705
158,195,49.0,-1.3849618,0.4547390419484051
159,168,10.0,-1.4676445,0.4524766586551295
160,61,51.0,-1.2212198,0.4502255310001289
161,231,49.0,-1.4199684,0.44798560298520296
162,212,164.0,-1.4055686,0.44575681889074925
163,173,109.0,-1.6394038,0.4435391232743774
164,219,83.0,-1.4755435,0.44133246096952977
165,225,63.0,-1.6452636,0.43913677708410925
166,117,-55.0,-1.4043487,0.43695201699911373
167,234,88.0,-1.7005963,0.4347781263672774
168,171,25.0,-1.8768646,0.4326150511117189
169,127,101.0,-1.808106,0.43046273742459595
170,58,48.0,-1.9611939,0.42832113176576714
171,210,90.0,-1.7870132,0.4261901808614599
172,55,39.0,-1.8683408,0.4240698317029452
173,198,54.0,-2.253754,0.42196003154521916
174,188,46.0,-1.3391128,0.41986072790569073
175,18,-10.0,-1.2588829,0.4177718685628764
176,227,87.0,-1.6377084,0.4156934015551009
177,274,176.0,-1.7669816,0.41362527517920494
178,177,131.0,-1.4673034,0.4115674379892587
179,49,15.0,-1.8744363,0.40951983879528236
180,208,78.0,-1.7915484,0.40748242666197254
181,241,65.0,-1.6448785,0.4054551509074354
182,172,16.0,-1.4030116,0.4034379611019258
183,172,18.0,-1.8905915,0.4014308070665929
184,226,32.0,-1.571528,0.39943363887223177
185,255,123.0,-1.1613845,0.3974464068380416
186,147,39.0,-1.6069863,0.3954690615303897
187,201,91.0,-1.5005,0.3935015537615818
188,295,133.0,-1.0157402,0.3915438345886387
189,145,-11.0,-1.6346613,0.3895958553120783
190,144,64.0,-1.6014562,0.3876575674747048
191,153,137.0,-1.0230795,0.38572892286040283
192,118,84.0,-1.1353697,0.38380987349293816
193,214,36.0,-1.1246057,0.38190037163476437
194,50,32.0,-1.635674,0.38000036978583523
195,184,96.0,-1.2754195,0.37810982068242316
196,373,181.0,-0.5747318,0.3762286772959435
197,92,76.0,-0.57137275,0.37435689283178464
198,206,42.0,-0.61088055,0.372494420728144
199,190,-4.0,-0.3251455,0.37064121465486966
200,29,3.0,-0.6876072,0.3687972285123082
201,240,106.0,-0.5595161,0.3669624164301574
202,331,167.0,-0.06728363,0.36513673276632586
203,190,172.0,-0.28971398,0.3633201321057969
204,152,64.0,-0.5801453,0.36151256925949943
205,231,33.0,-0.4010033,0.35971399926318354
206,203,77.0,0.13866785,0.35792437737630206
207,276,90.0,-0.23908891,0.3561436590808976
208,156,84.0,0.1349233,0.3543718000804952
209,307,161.0,0.39362717,0.35260875629900024
210,291,19.0,1.1144878,0.3508544838796023
211,285,123.0,0.5750027,0.3491089391836839
212,377,149.0,0.811,0.34737207878973525
213,253,109.0,0.4153489,0.34564385949227394
214,178,-4.0,1.2387109,0.3439242383007701
215,274,70.0,1.0803795,0.3422131724385773
216,330,154.0,1.5791378,0.340510619341868
217,232,50.0,1.1853307,0.33881653665857514
218,191,19.0,2.222077,0.3371308822473385
219,188,172.0,1.7064786,0.33545361417645625
220,212,0.0,1.9766924,0.33378469072284206
221,208,6.0,1.7562553,0.3321240703709872
222,302,124.0,2.678888,0.3304717118119276
223,317,159.0,2.7835083,0.3288275739422165
224,287,81.0,2.6411054,0.327191615862902
225,251,81.0,2.3998938,0.3255637968785095
226,332,164.0,3.755709,0.3239440764960294
227,299,205.0,3.0990946,0.3223324144239099
228,338,138.0,3.7190008,0.3207287705710547
229,252,64.0,4.0319757,0.3191331050458256
230,500,476.0,4.8732576,0.31754537815505035
231,246,70.0,4.303134,0.3159655504030352
232,398,208.0,6.1040735,0.3143935824905823
233,237,93.0,5.6005096,0.31282943531401225
234,425,235.0,5.557916,0.31127306996419135
235,312,116.0,6.7464185,0.30972444772556357
236,490,328.0,6.8302746,0.3081835300751877
237,110,-52.0,6.363303,0.3066502786817788
238,339,151.0,8.051424,0.30512465540475503
239,352,56.0,7.832537,0.3036066222932886
240,500,274.0,8.747864,0.30209614158536185
241,154,0.0,9.217835,0.30059317570682775
242,320,174.0,9.106853,0.2990976872704754
243,500,422.0,9.953563,0.29760963907509996
244,223,23.0,10.22941,0.2961289941045771
245,346,226.0,10.021025,0.2946557155269424
246,410,188.0,10.547135,0.2931897666934751
247,151,129.0,10.772562,0.29173111113778616
248,214,18.0,10.809958,0.29027971257491164
249,128,-22.0,10.651496,0.28883553490040964
250,238,38.0,10.731209,0.28739854218946237
251,500,466.0,11.435856,0.2859686986959825
252,287,69.0,11.399036,0.28454596885172395
253,355,189.0,11.005173,0.283130317265397
254,500,402.0,12.183346,0.2817217087217881
255,225,-21.0,12.397839,0.2803201081808837
256,264,108.0,11.943328,0.27892548077699875
257,376,220.0,13.161253,0.2775377918179092
258,421,263.0,13.227347,0.2761570067839893
259,500,472.0,14.553482,0.27478309132735257
260,459,257.0,13.7587385,0.2734160112709976
261,171,89.0,14.250929,0.27205573260795785
262,310,154.0,14.659,0.2707022215004556
263,500,110.0,13.900399,0.26935544427906033
264,500,460.0,15.037986,0.2680153674418511
265,298,248.0,15.135515,0.2666819576535832
266,500,486.0,15.556342,0.26535518174485895
267,500,492.0,15.646465,0.2640350067113025
268,500,466.0,15.494487,0.26272139971273883
269,500,414.0,16.318577,0.26141432807237697
270,197,-5.0,15.605434,0.260113759275997
271,500,468.0,16.771917,0.25881966097114134
272,500,420.0,16.728493,0.2575320009663098
273,371,281.0,16.911255,0.256250747230159
274,500,500.0,17.767084,0.2549758678907055
275,500,476.0,17.411928,0.2537073312345328
276,500,406.0,17.583214,0.2524451057060028
277,500,484.0,17.216785,0.2511891599064705
278,500,460.0,18.230085,0.24993946259350303
279,500,500.0,18.484236,0.24869598268010254
280,500,484.0,18.999453,0.2474586892339329
281,500,500.0,19.195726,0.24622755147655018
282,500,494.0,20.423647,0.24500253878263703
283,500,494.0,20.048576,0.24378362067924086
284,147,49.0,20.077278,0.2425707668450158
285,500,452.0,19.920082,0.24136394710946849
286,500,478.0,20.63926,0.24016313145220747
287,500,482.0,21.314249,0.23896829000219652
288,157,135.0,20.81624,0.23777939303701148
289,500,500.0,21.15504,0.236596410982101
290,500,500.0,21.940805,0.23541931441005076
291,500,488.0,22.35338,0.23424807403985154
292,500,486.0,22.04307,0.2330826607361707
293,500,500.0,22.63294,0.23192304550862758
294,500,490.0,22.687853,0.23076919951107225
295,500,500.0,23.251085,0.22962109404086795
296,500,426.0,23.107588,0.2284787005381771
297,500,500.0,23.609669,0.22734199058525087
298,500,482.0,23.566708,0.22621093590572228
299,500,500.0,24.12365,0.2250855083639028
