episode,length,total_reward,avg_q,exploration
0,117,-175.0540736803242,0.0362809,1.0
1,110,-134.99956778565112,0.09522967,0.9950248756218907
2,117,-94.49285127050503,0.30271688,0.990074503106359
3,111,-136.2170411143669,0.7104596,0.98514875930981
4,125,-266.1494532389786,0.80936605,0.9802475217013037
5,125,-246.61594917890304,1.1493492,0.9753706683595063
6,125,-7.0502329971176465,1.3368948,0.970518077969658
7,126,12.196705794883542,1.6236511,0.9656896298205554
8,124,-111.41803186757164,2.2486436,0.9608852038015477
9,108,-120.70907408925699,2.6016107,0.9561046803995501
10,115,-373.32128059683265,2.2771587,0.9513479406960699
11,122,-66.97924801761962,2.1033645,0.9466148663642487
12,111,-81.46442021678855,1.6776022,0.9419053396659193
13,108,-104.57305406557967,1.6939514,0.937219243448676
14,127,-388.2178606923464,1.6908562,0.9325564611429613
15,125,-233.83125972923676,1.5897747,0.9279168767591656
16,109,-91.17965833654107,1.392366,0.9233003748847419
17,122,-98.76180706650572,1.6688874,0.9187068406813353
18,127,-300.1110249662734,0.71136343,0.9141361598819259
19,118,-101.10567321179747,0.67766684,0.909588218787986
20,111,-293.8551885438673,0.41974813,0.9050629042666528
21,145,-184.25195536570098,0.25659287,0.9005601037479133
22,137,-79.32591768389072,0.5777835,0.8960797052218044
23,113,-228.13079316408718,0.28753757,0.8916215972356263
24,118,-288.6588577064986,0.36668056,0.8871856688911706
25,102,-230.09597533786658,0.2965781,0.8827718098419609
26,129,-310.0457319975586,0.018538808,0.8783799102905084
27,113,-119.77188034494127,-0.9053798,0.8740098609855806
28,117,-190.66511285904744,-0.8269639,0.8696615532194834
29,126,-104.45672378724258,-0.74079573,0.8653348788253566
30,118,-69.02214466015586,-1.018251,0.8610297301744844
31,136,-331.11104385092983,-0.5626542,0.8567460001736164
32,123,-265.81566314637996,-0.6153894,0.8524835822623049
33,122,-82.19188384543375,-0.51778597,0.8482423704102537
34,121,-105.06790344386692,-0.962746,0.8440222591146804
35,122,-227.26450306686516,-0.6924101,0.839823143397692
36,101,-370.33880912502184,-0.93634444,0.8356449188036738
37,127,-157.51651230335284,-0.5718269,0.8314874813966904
38,113,-248.77402469093363,-0.71971387,0.827350727757901
39,136,-333.8454421193345,-0.5185884,0.8232345549829861
40,128,-151.39080311937622,-0.31039843,0.8191388606795883
