episode,length,total_reward,avg_q,exploration
0,200,-200.0,-0.09057439,1.0
1,200,-200.0,-0.2855293,0.9950248756218907
2,200,-200.0,-0.38136333,0.990074503106359
3,200,-200.0,-0.5358312,0.98514875930981
4,200,-200.0,-0.6612619,0.9802475217013037
5,200,-200.0,-1.392864,0.9753706683595063
6,200,-200.0,-1.5078888,0.970518077969658
7,200,-200.0,-1.5362599,0.9656896298205554
8,200,-200.0,-1.5443327,0.9608852038015477
9,200,-200.0,-1.524265,0.9561046803995501
10,200,-200.0,-2.374152,0.9513479406960699
11,200,-200.0,-2.3745625,0.9466148663642487
12,200,-200.0,-2.431562,0.9419053396659193
13,200,-200.0,-2.4275577,0.937219243448676
14,200,-200.0,-2.419302,0.9325564611429613
15,200,-200.0,-3.2704387,0.9279168767591656
16,200,-200.0,-3.316684,0.9233003748847419
17,200,-200.0,-3.3121986,0.9187068406813353
18,200,-200.0,-3.3157592,0.9141361598819259
19,200,-200.0,-3.317454,0.909588218787986
20,200,-200.0,-4.191577,0.9050629042666528
21,200,-200.0,-4.195118,0.9005601037479133
22,200,-200.0,-4.1869125,0.8960797052218044
23,200,-200.0,-4.225936,0.8916215972356263
24,200,-200.0,-4.222926,0.8871856688911706
25,200,-200.0,-5.118907,0.8827718098419609
26,200,-200.0,-5.1070204,0.8783799102905084
27,200,-200.0,-5.09407,0.8740098609855806
28,200,-200.0,-5.1285796,0.8696615532194834
29,200,-200.0,-5.124268,0.8653348788253566
30,200,-200.0,-6.019091,0.8610297301744844
31,200,-200.0,-5.977616,0.8567460001736164
32,200,-200.0,-5.9740577,0.8524835822623049
33,200,-200.0,-6.015359,0.8482423704102537
34,200,-200.0,-6.026464,0.8440222591146804
35,200,-200.0,-6.8556185,0.839823143397692
36,200,-200.0,-6.899919,0.8356449188036738
37,200,-200.0,-6.9043746,0.8314874813966904
38,200,-200.0,-6.902753,0.827350727757901
39,200,-200.0,-6.9244585,0.8232345549829861
40,200,-200.0,-7.754158,0.8191388606795883
41,200,-200.0,-7.789457,0.8150635429647646
42,200,-200.0,-7.8004313,0.8110085004624524
43,200,-200.0,-7.814092,0.8069736323009478
44,200,-200.0,-7.8039675,0.8029588381103959
45,200,-200.0,-8.609152,0.7989640180202945
46,200,-200.0,-8.645728,0.7949890726570096
47,200,-200.0,-8.678724,0.7910339031413032
48,200,-200.0,-8.68726,0.7870984110858739
49,200,-200.0,-8.627992,0.7831824985929094
50,200,-200.0,-9.466533,0.7792860682516513
51,200,-200.0,-9.473196,0.7754090231359715
52,200,-200.0,-9.480468,0.7715512668019617
53,200,-200.0,-9.467811,0.7677127032855341
54,200,-200.0,-9.49525,0.763893237100034
55,200,-200.0,-10.32082,0.7600927732338647
56,200,-200.0,-10.346716,0.7563112171481242
57,200,-200.0,-10.318178,0.752548474774253
58,200,-200.0,-10.338217,0.7488044525116946
59,200,-200.0,-10.359599,0.7450790572255668
60,200,-200.0,-11.198265,0.7413721962443451
61,200,-200.0,-11.218416,0.7376837773575574
62,200,-200.0,-11.207103,0.73401370881349
63,200,-200.0,-11.196857,0.7303618993169055
64,200,-200.0,-11.21419,0.7267282580267718
65,200,-200.0,-12.048772,0.7231126945540018
66,200,-200.0,-12.021849,0.719515118959206
67,200,-200.0,-12.0646305,0.7159354417504538
68,200,-200.0,-12.057353,0.7123735738810486
69,200,-200.0,-12.071103,0.7088294267473121
70,200,-200.0,-12.88883,0.7053029121863803
71,200,-200.0,-12.898746,0.7017939424740103
72,200,-200.0,-12.891769,0.6983024303223984
73,200,-200.0,-12.912207,0.6948282888780084
74,200,-200.0,-12.901413,0.6913714317194114
75,200,-200.0,-13.722658,0.6879317728551358
76,200,-200.0,-13.683815,0.6845092267215283
77,200,-200.0,-13.720134,0.6811037081806252
78,200,-200.0,-13.739087,0.6777151325180351
79,200,-200.0,-13.729864,0.674343415440831
80,200,-200.0,-14.523338,0.6709884730754538
81,200,-200.0,-14.542279,0.6676502219656257
82,200,-200.0,-14.521896,0.6643285790702744
83,200,-200.0,-14.544182,0.6610234617614672
84,200,-200.0,-14.559743,0.6577347878223555
85,200,-200.0,-15.337563,0.6544624754451299
86,200,-200.0,-15.3059845,0.651206443228985
87,200,-200.0,-15.341124,0.6479666101780946
88,200,-200.0,-15.35126,0.6447428956995968
