episode,length,total_reward,avg_q,exploration
0,113,-418.78239580048836,-0.38759553,1.0
1,114,-548.8388338644943,-1.4465675,0.9950248756218907
2,117,-399.87542602544676,-1.5867169,0.990074503106359
3,129,-119.44909895484355,-1.1694397,0.98514875930981
4,114,-206.73103520043213,-1.090464,0.9802475217013037
5,101,-147.22256492957212,-1.1635821,0.9753706683595063
6,141,-414.4334407817404,-1.341295,0.970518077969658
7,108,-28.205826723115635,-0.8844536,0.9656896298205554
8,115,-249.44345076538394,-0.95729923,0.9608852038015477
9,90,-320.18609712263736,-0.36066473,0.9561046803995501
10,102,-133.12639337932546,0.009135013,0.9513479406960699
11,125,-95.17430400820794,0.4038681,0.9466148663642487
12,135,-168.31275970798973,0.42031795,0.9419053396659193
13,119,-207.65227375499828,0.82393587,0.937219243448676
14,112,-123.27153966086976,0.79003775,0.9325564611429613
15,116,-117.10782486228901,0.9820118,0.9279168767591656
16,139,-334.1024589146458,1.0010256,0.9233003748847419
17,132,-104.28734407239251,1.7820137,0.9187068406813353
18,131,-229.08805120638465,1.663385,0.9141361598819259
19,110,-251.91205205873328,1.755389,0.909588218787986
20,118,-162.6724102105049,1.6446606,0.9050629042666528
21,128,-210.1638075301723,1.5379441,0.9005601037479133
22,122,-92.99910236955917,1.5396208,0.8960797052218044
23,133,-160.28441352546156,1.6385441,0.8916215972356263
24,134,-482.8177612776991,1.4008424,0.8871856688911706
25,141,-210.59419661275604,2.3542583,0.8827718098419609
26,135,-151.91225582083624,2.1714237,0.8783799102905084
27,127,-118.1275262526618,1.8460804,0.8740098609855806
28,116,-137.00854991832594,1.7816536,0.8696615532194834
29,145,-158.040803871669,1.930753,0.8653348788253566
30,118,-184.00063118351179,1.5797195,0.8610297301744844
31,107,-309.15971113406204,1.7664211,0.8567460001736164
32,116,-27.79286232328856,1.9819653,0.8524835822623049
33,137,-177.91545805856086,2.784223,0.8482423704102537
34,123,-136.48193919976654,2.8281415,0.8440222591146804
35,119,-85.0790517650364,2.5324664,0.839823143397692
36,121,-328.1946031644203,2.6218605,0.8356449188036738
37,124,-165.09804613133196,2.3956466,0.8314874813966904
38,141,-298.05648610538225,2.8247333,0.827350727757901
39,129,-254.891286283304,2.6359937,0.8232345549829861
40,152,-120.57335937350658,3.5473835,0.8191388606795883
41,119,-158.29473032301343,3.6915214,0.8150635429647646
42,121,-113.26367722791932,3.4033668,0.8110085004624524
43,133,-67.30490113015429,3.3928757,0.8069736323009478
44,134,-93.68858747348939,3.8149712,0.8029588381103959
45,111,-185.7731187196272,3.4750946,0.7989640180202945
46,143,-177.87173362861563,3.9265475,0.7949890726570096
47,141,32.83307210642579,3.8052857,0.7910339031413032
48,145,-186.58738660592107,4.87461,0.7870984110858739
49,158,41.19152085422232,4.731571,0.7831824985929094
50,125,-227.79345184209288,4.8711863,0.7792860682516513
51,110,-275.36148904839723,4.752988,0.7754090231359715
52,138,-121.58139988420115,5.0974364,0.7715512668019617
53,169,-182.3908884277591,4.965197,0.7677127032855341
54,144,-132.09325153339574,4.725387,0.763893237100034
55,158,-298.75674565778854,6.6057715,0.7600927732338647
56,149,-69.26986773426796,6.2651415,0.7563112171481242
57,133,-172.37227298652172,6.022237,0.752548474774253
58,119,-110.79949431087555,6.0336127,0.7488044525116946
59,128,-122.88486918951253,6.124437,0.7450790572255668
60,132,-117.08071069762524,6.2474294,0.7413721962443451
61,132,-62.943856080904105,6.3677187,0.7376837773575574
62,112,-110.0031369141405,6.75228,0.73401370881349
63,101,-142.509407747767,8.152018,0.7303618993169055
64,159,-95.22439134289314,7.9705215,0.7267282580267718
65,160,-28.891699389715413,8.091947,0.7231126945540018
66,135,-67.07986469163976,8.059988,0.719515118959206
67,118,-114.26490970864245,8.181675,0.7159354417504538
68,122,-118.07854535564262,8.570578,0.7123735738810486
69,126,-99.84313958640875,8.394213,0.7088294267473121
70,134,-140.50254574162932,10.20045,0.7053029121863803
71,158,-77.90555340694667,10.162402,0.7017939424740103
72,136,-118.27838326479268,10.033468,0.6983024303223984
73,119,-115.65611065303197,10.207869,0.6948282888780084
74,132,-60.57173529853461,10.274692,0.6913714317194114
75,169,-80.29098460434584,10.265686,0.6879317728551358
76,126,-85.16758423196437,10.57392,0.6845092267215283
77,129,-108.98490552137183,11.300896,0.6811037081806252
78,139,-94.25580816620854,12.22395,0.6777151325180351
79,147,-39.27115017478739,12.0773325,0.674343415440831
80,152,-54.03158801870069,12.433408,0.6709884730754538
81,134,-102.74468075615684,12.135612,0.6676502219656257
82,218,-91.0803891417387,12.2284975,0.6643285790702744
83,219,-45.89948486456905,13.472748,0.6610234617614672
84,124,-108.11914032590923,13.722669,0.6577347878223555
85,154,-83.18007381650656,13.803777,0.6544624754451299
86,181,-138.9923594966591,14.191546,0.651206443228985
87,189,-66.2375345720841,14.297986,0.6479666101780946
88,218,-31.228919768803323,14.231573,0.6447428956995968
89,168,-23.687711484367853,16.553188,0.6415352196015889
90,201,-64.53407690581419,16.586048,0.6383435020911333
91,188,-79.36974710984043,16.46951,0.6351676637722721
92,173,-14.767115188070036,16.66042,0.6320076256440519
93,186,-110.21371388613615,16.356598,0.6288633090985591
94,157,-74.26330452761901,16.521938,0.6257346359189644
95,182,-11.350690423023323,18.706589,0.6226215282775766
96,171,-81.43394967669985,18.744732,0.6195239087339071
97,172,-8.631501890407037,18.413376,0.6164417002327434
98,167,-29.558310111004147,18.802631,0.6133748261022323
99,138,-51.871850878807194,18.899307,0.6103232100519724
100,149,-81.67651669319382,18.843977,0.6072867761711169
101,107,-120.71718827846688,21.209314,0.6042654489264846
102,216,-64.80014812324453,21.156918,0.6012591531606812
103,179,-50.897211663188145,21.258907,0.5982678140902301
104,118,-106.32346381710587,21.376858,0.5952913573037116
105,161,-39.13034388670103,21.312954,0.5923297087599121
106,129,-27.78691187509402,21.373575,0.5893827947859822
107,165,-90.03363235237848,22.939575,0.5864505420756042
108,129,-79.22374289870113,23.735537,0.5835328776871684
109,132,-65.16161597759381,23.609003,0.5806297290419588
110,164,-82.13496169799188,23.685467,0.577741023922347
111,148,-57.173854148927234,23.685284,0.5748666904699972
112,1000,30.39670444831968,26.050201,0.5720066571840768
113,187,-40.07561976360135,25.747051,0.5691608529194795
114,1000,18.019918028420133,28.2644,0.5663292068850543
115,141,-83.60184504687933,28.081757,0.5635116486418451
116,174,-51.40426110501689,30.805683,0.5607081081013385
117,145,-9.842260589902523,30.30396,0.55791851552372
118,160,-15.554232838858482,30.545202,0.5551428015161394
119,156,-75.86415842853819,30.847088,0.5523808970309845
120,132,-3.8969264057489,30.525629,0.5496327333641637
121,148,-62.65697637004853,30.60369,0.5468982421533968
122,129,-35.00156913957896,30.64274,0.5441773553765142
123,223,-23.39505613103445,33.455658,0.5414700053497654
124,254,-75.1280093666987,33.089508,0.5387761247261348
125,196,-63.272047916793085,33.075283,0.5360956464936665
126,187,-61.66838264667656,32.38285,0.5334285039737976
127,246,-10.558377283881512,35.78427,0.5307746308196991
128,1000,-1.6231939341956942,37.825546,0.5281339610146261
129,164,-47.631286214103625,36.67912,0.5255064288702748
130,1000,14.968786812013029,39.21477,0.5228919690251491
131,197,23.085064737103863,38.98476,0.5202905164429344
132,137,-69.53551330993128,38.82611,0.5177020064108802
133,216,-60.97450662358085,38.733257,0.5151263745381892
134,159,-9.281471983457777,39.127983,0.5125635567544172
135,158,-75.15141650717152,41.21477,0.5100134893078779
136,1000,-54.589112708323526,43.154835,0.5074761087640577
137,1000,-35.914197320321335,44.25759,0.5049513520040375
138,179,-77.17331566853238,44.801735,0.5024391562229229
139,1000,-28.98331969617197,46.780014,0.49993945892828157
140,144,-32.75359731625251,46.787437,0.4974521979385887
141,1000,-54.00901605482029,48.816277,0.49497731138168033
142,172,-23.270938951612564,48.587948,0.4925147376932143
143,300,-68.93463385267592,48.938416,0.49006441561513864
144,1000,-77.84752209017496,50.78068,0.48762628419416787
145,184,-55.77170705206381,52.777184,0.4852002827802666
146,191,-34.85434326808688,52.916332,0.48278635102514095
147,215,-30.308551861299918,52.641014,0.4803844288807373
148,189,-23.34015493426567,52.678535,0.4779944565977486
149,186,-48.56014643669165,52.698284,0.475616374724128
150,1000,-77.90707809779991,54.309593,0.47325012410361
151,160,-52.34961546254095,55.69433,0.4708956458742389
152,164,-31.328811312187497,56.06423,0.4685528814669044
153,1000,-82.80784061982925,57.3007,0.46622177260388503
154,118,-58.525280892761344,57.45945,0.4639022612973981
155,415,-72.2418928601502,58.071472,0.46159428984815737
156,158,9.424153277162787,57.401745,0.45929780084393773
157,1000,-101.59673765896076,58.78142,0.45701273715814705
158,600,-65.13891953522662,61.57599,0.4547390419484051
159,255,-8.46364646673662,60.916576,0.4524766586551295
160,135,-0.11597479904474994,60.12555,0.4502255310001289
161,912,-220.7033696351588,62.44287,0.44798560298520296
162,192,-31.152354970024376,61.923573,0.44575681889074925
163,149,-44.11678500736819,63.023224,0.4435391232743774
164,163,-5.525309581367736,62.639565,0.44133246096952977
165,151,-47.031882476079744,62.943596,0.43913677708410925
166,134,18.220157984072273,62.73534,0.43695201699911373
167,149,-38.232873467960076,62.393555,0.4347781263672774
168,127,-35.51504141438353,62.266174,0.4326150511117189
169,1000,-81.8169600032711,64.24027,0.43046273742459595
170,138,-10.841021540532736,63.879986,0.42832113176576714
171,1000,-22.938842181642805,65.69138,0.4261901808614599
172,1000,-54.50353409433134,66.68126,0.4240698317029452
173,136,-20.858084042020877,68.42945,0.42196003154521916
174,183,-68.30819400624965,68.87835,0.41986072790569073
175,144,14.396405000927217,68.78692,0.4177718685628764
176,134,8.645679285670141,67.99736,0.4156934015551009
177,113,-34.80865117247339,68.508385,0.41362527517920494
178,824,-222.37419757250746,69.258606,0.4115674379892587
179,138,0.7790364933456431,68.73445,0.40951983879528236
180,151,13.134331009252037,70.321686,0.40748242666197254
181,137,-74.5153540018606,69.472466,0.4054551509074354
182,1000,-0.2203753727447484,69.77026,0.4034379611019258
183,126,4.652345948133529,71.2087,0.4014308070665929
184,135,-68.14631281717517,70.81649,0.39943363887223177
185,992,-271.75701147183196,72.17537,0.3974464068380416
186,130,-35.569791804608215,71.76208,0.3954690615303897
187,1000,2.250699770756011,72.43795,0.3935015537615818
188,389,-2.9673459438010354,71.3741,0.3915438345886387
189,136,7.577600168067619,72.18268,0.3895958553120783
190,1000,-53.46908320407788,71.17887,0.3876575674747048
191,1000,-15.568471271070091,73.497894,0.38572892286040283
192,118,6.081941290151406,72.96245,0.38380987349293816
193,161,45.116513307084915,73.73434,0.38190037163476437
194,128,27.209667203908268,73.09026,0.38000036978583523
195,138,3.4971023674126087,73.35246,0.37810982068242316
196,140,-0.7140481019051919,73.1248,0.3762286772959435
197,128,13.163431809476535,73.49041,0.37435689283178464
198,1000,-23.454947751132128,74.326614,0.372494420728144
199,1000,-75.85760692378952,75.49993,0.37064121465486966
200,132,-69.35374560883585,74.27469,0.3687972285123082
201,1000,-42.72710963325659,74.81269,0.3669624164301574
202,1000,-32.51597902857881,76.18031,0.36513673276632586
203,132,-8.829291706376466,77.029686,0.3633201321057969
204,118,-46.01972226234277,76.71128,0.36151256925949943
205,133,11.563887920403118,77.129745,0.35971399926318354
206,123,27.54810374197865,77.37634,0.35792437737630206
207,124,-1.5353823601256664,76.92847,0.3561436590808976
208,1000,-26.03812037691601,77.02103,0.3543718000804952
209,746,-145.2293168617325,77.41231,0.35260875629900024
210,1000,-23.908985739121782,77.06751,0.3508544838796023
211,1000,-29.63090488715736,78.89914,0.3491089391836839
212,157,19.0830174523835,78.006775,0.34737207878973525
213,1000,-33.1070140128028,77.80198,0.34564385949227394
214,640,-148.82128790163944,77.70094,0.3439242383007701
215,121,22.634393039571975,78.07589,0.3422131724385773
216,133,31.183681092383893,78.50895,0.340510619341868
217,1000,-67.8624672218189,78.04738,0.33881653665857514
218,1000,-33.96931496303543,78.37811,0.3371308822473385
219,1000,-25.051208629650986,77.80343,0.33545361417645625
220,112,-63.84470310585513,78.33327,0.33378469072284206
221,129,-29.22757431957622,77.3784,0.3321240703709872
222,137,-50.279739547300544,77.791695,0.3304717118119276
223,122,16.5379255117618,77.57273,0.3288275739422165
224,1000,-97.90728662849628,78.12386,0.327191615862902
225,139,7.736914772607193,77.367325,0.3255637968785095
226,1000,-18.503312740715888,76.561874,0.3239440764960294
227,130,-8.663033895960055,77.28446,0.3223324144239099
228,130,7.939144443168146,78.54927,0.3207287705710547
229,855,-272.4701806489203,77.75711,0.3191331050458256
230,1000,-107.5166340692365,78.34575,0.31754537815505035
231,1000,-59.808743018230714,78.54027,0.3159655504030352
232,1000,-106.47428822757013,80.14515,0.3143935824905823
233,135,-1.1188157649735615,80.21486,0.31282943531401225
234,674,-239.7711122930276,79.01165,0.31127306996419135
235,114,-44.052551470807764,78.829185,0.30972444772556357
236,134,-46.35036171999215,79.11013,0.3081835300751877
237,1000,-5.315439167650096,80.04822,0.3066502786817788
238,113,-55.31632426286418,78.50665,0.30512465540475503
239,137,-14.046910806152013,79.07541,0.3036066222932886
240,130,-46.69323122803726,79.24159,0.30209614158536185
241,141,-10.041859433293638,78.44496,0.30059317570682775
242,624,-224.62657836516578,78.94919,0.2990976872704754
243,1000,-53.55194970806898,77.73932,0.29760963907509996
244,1000,-55.0982337233233,78.34135,0.2961289941045771
245,1000,-104.78171739217525,78.66321,0.2946557155269424
246,1000,-71.83324264590887,78.58842,0.2931897666934751
247,1000,-49.75706132297114,78.057205,0.29173111113778616
248,693,-204.6779632155526,78.935425,0.29027971257491164
249,129,29.80628685351951,78.773865,0.28883553490040964
250,1000,-41.32001107133956,78.91319,0.28739854218946237
251,1000,-134.720547018446,79.98355,0.2859686986959825
252,120,-22.063421873487485,78.6615,0.28454596885172395
253,660,-194.29468380308072,78.39431,0.283130317265397
254,1000,-103.04303688905598,78.4845,0.2817217087217881
255,1000,-116.42160741427449,77.49952,0.2803201081808837
256,1000,-38.47411957774037,77.233315,0.27892548077699875
257,1000,-55.62066719513571,77.010635,0.2775377918179092
258,1000,-106.09357357160053,77.01187,0.2761570067839893
259,1000,-177.4672946587691,75.74953,0.27478309132735257
260,867,-225.85537861500342,77.27329,0.2734160112709976
261,1000,-14.955995727062733,75.92794,0.27205573260795785
262,761,-226.9126639545828,76.18553,0.2707022215004556
263,1000,-32.599695444054284,75.503006,0.26935544427906033
264,126,7.425558550702746,76.690445,0.2680153674418511
265,803,-219.69178377760824,75.65381,0.2666819576535832
266,1000,-66.7214068746752,76.65741,0.26535518174485895
267,1000,-28.67197835379549,76.05119,0.2640350067113025
268,1000,-106.71977799444925,75.83226,0.26272139971273883
269,1000,-102.45598144320583,74.59453,0.26141432807237697
270,1000,-61.64337134855566,76.94206,0.260113759275997
271,1000,-62.915936297458614,75.49785,0.25881966097114134
272,130,7.012881071305216,75.45124,0.2575320009663098
273,1000,-54.110228405553656,75.29742,0.256250747230159
274,1000,-48.95254605370939,74.38836,0.2549758678907055
275,1000,-55.152725897954284,75.41077,0.2537073312345328
276,1000,-8.408982082230017,74.32261,0.2524451057060028
277,1000,-101.42912564631439,74.11387,0.2511891599064705
278,104,-53.728550330603326,74.24896,0.24993946259350303
279,1000,-45.34099736515492,74.79268,0.24869598268010254
280,112,-49.035797553076534,74.2344,0.2474586892339329
281,1000,-33.00922724949126,74.120155,0.24622755147655018
282,1000,-22.71708184175998,74.71554,0.24500253878263703
283,1000,-4.903539836800207,74.41917,0.24378362067924086
284,1000,-121.20763244438885,73.12623,0.2425707668450158
285,1000,-15.605738065122809,73.10771,0.24136394710946849
286,1000,-37.87718540982387,73.25978,0.24016313145220747
287,1000,-16.035593140024577,73.54026,0.23896829000219652
288,1000,-62.36612973121826,74.3512,0.23777939303701148
289,1000,-30.279032849120043,75.37474,0.236596410982101
290,128,-50.9086456506467,74.34844,0.23541931441005076
291,1000,-31.878802348889298,74.03557,0.23424807403985154
292,123,-33.67542499766773,74.22325,0.2330826607361707
293,1000,-38.76882407330501,75.78503,0.23192304550862758
294,1000,-59.820239311595316,75.80044,0.23076919951107225
295,1000,-19.989996123584675,75.49025,0.22962109404086795
296,1000,-28.47487402102529,75.556496,0.2284787005381771
297,139,24.452671987093822,76.324524,0.22734199058525087
298,1000,-12.757961179959523,76.679245,0.22621093590572228
